98,64,386,623
101,39,386,634
107,40,381,614
99,54,374,632
113,51,375,621
86,54,389,636
90,40,385,632
88,37,384,618
85,47,390,621
106,61,378,624
94,50,369,620
97,37,379,640
102,61,370,632
107,48,392,631
110,43,377,634
94,48,381,631
96,57,396,617
97,43,382,613
88,37,385,616
108,47,386,614
108,64,385,640
96,56,373,628
100,50,395,640
90,55,397,626
104,42,377,622
110,56,386,621
102,48,377,628
96,63,369,618
107,60,383,618
108,63,393,636
89,44,369,615
655,193,361,464
654,192,364,467
654,195,364,469
654,192,361,465
655,196,363,466
655,195,361,465
658,191,360,468
656,194,361,466
655,194,361,467
657,191,361,468
656,192,362,465
655,192,361,466
653,193,363,466
654,194,360,468
658,194,359,467
657,191,361,467
657,193,360,466
654,195,359,466
653,194,362,466
652,194,360,468
532,694,674,386
563,679,675,421
582,656,692,388
567,695,705,414
560,631,703,434
520,692,715,415
555,678,683,416
572,662,664,424
547,656,699,456
567,709,699,410
504,711,655,404
577,718,664,449
533,674,646,415
508,634,653,400
585,676,643,388
519,710,662,446
563,654,688,413
576,713,721,401
558,713,670,457
559,716,710,449
542,704,646,391
568,663,707,390
537,696,654,419
526,652,640,404
568,696,662,466
540,675,692,458
588,638,723,467
568,711,655,388
589,710,681,385
520,651,724,435
518,686,710,419
509,703,658,464
558,656,683,440
512,706,706,413
522,670,683,417
544,692,689,433
508,648,672,462
534,689,641,453
539,678,701,414
511,708,652,431
517,673,699,461
520,684,708,430
589,668,718,384
536,674,690,408
555,659,643,425
535,652,715,442
584,651,659,428
523,713,684,420
583,644,668,421
554,659,651,422
502,712,695,442
568,649,657,414
507,657,703,393
540,631,652,413
547,703,701,439
558,714,692,396
584,636,662,460
507,674,697,389
518,708,693,453
437,668,165,188
444,617,160,198
494,586,71,228
476,590,77,172
497,592,81,225
493,613,118,197
404,668,88,179
171,185,221,17
199,164,183,35
170,158,191,-3
208,141,181,39
221,151,199,0
185,176,175,25
222,170,180,0
213,182,186,5
178,132,203,3
186,182,222,11
208,178,205,36
196,183,220,13
177,151,203,18
180,190,206,35
197,175,164,33
164,139,188,-5
203,169,196,35
163,143,205,26
170,146,182,2
221,172,173,24
170,148,162,4
187,179,183,43
171,193,219,42
182,133,204,38
166,135,189,34
182,166,160,26
196,163,172,39
363,526,80,66
370,515,74,65
363,514,82,76
373,519,80,67
364,528,65,71
675,263,593,530
